File,WaveData20230804_097.csv,
Date/Time,23-08-04/05:22,

Center Wavelength,1450,nm
Span Wavelength,500,nm
Start Wavelength,1200,nm
Stop Wavelength,1700,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,1.0,nm
Actual Resolution,1.024,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Pulse Mode,Off,

Trace,A
Start,1200,nm
Stop,1700,nm
1200.000000,2.4380E-008
1200.250000,2.9010E-008
1200.500000,1.5640E-008
1200.750000,3.8800E-008
1201.000000,2.3790E-009
1201.250000,1.6740E-008
1201.500000,5.3980E-008
1201.750000,2.5630E-008
1202.000000,1.5530E-008
1202.250000,2.7050E-008
1202.500000,1.7820E-008
1202.750000,3.0310E-008
1203.000000,3.8680E-008
1203.250000,5.0370E-009
1203.500000,3.2080E-008
1203.750000,2.0550E-008
1204.000000,1.8910E-008
1204.250000,3.7520E-008
1204.500000,3.2450E-008
1204.750000,4.3570E-008
1205.000000,3.1390E-008
1205.250000,2.5610E-008
1205.500000,2.3900E-008
1205.750000,5.0600E-008
1206.000000,1.4410E-008
1206.250000,2.0520E-008
1206.500000,2.2130E-008
1206.750000,2.4530E-008
1207.000000,5.0010E-009
1207.250000,4.0230E-008
1207.500000,2.3500E-008
1207.750000,3.6210E-008
1208.000000,3.3550E-008
1208.250000,3.5030E-008
1208.500000,1.6570E-008
1208.750000,2.0100E-008
1209.000000,3.7690E-008
1209.250000,2.0670E-008
1209.500000,3.4960E-008
1209.750000,3.7850E-008
1210.000000,4.6000E-008
1210.250000,4.7950E-008
1210.500000,3.6940E-008
1210.750000,3.7050E-008
1211.000000,4.8350E-008
1211.250000,5.0860E-008
1211.500000,2.4390E-008
1211.750000,5.5160E-008
1212.000000,3.0970E-008
1212.250000,4.1290E-008
1212.500000,2.3290E-008
1212.750000,5.8910E-008
1213.000000,5.9190E-008
1213.250000,3.7580E-008
1213.500000,6.0410E-008
1213.750000,4.3290E-008
1214.000000,3.8780E-008
1214.250000,5.2260E-008
1214.500000,3.6180E-008
1214.750000,3.4360E-008
1215.000000,4.3710E-008
1215.250000,8.8120E-008
1215.500000,3.7290E-008
1215.750000,7.3200E-008
1216.000000,6.4430E-008
1216.250000,6.9780E-008
1216.500000,7.4550E-008
1216.750000,6.2270E-008
1217.000000,6.5130E-008
1217.250000,7.8100E-008
1217.500000,8.3590E-008
1217.750000,8.5950E-008
1218.000000,1.0320E-007
1218.250000,1.1710E-007
1218.500000,1.1320E-007
1218.750000,1.0570E-007
1219.000000,1.0020E-007
1219.250000,1.3510E-007
1219.500000,1.4300E-007
1219.750000,1.2270E-007
1220.000000,1.3240E-007
1220.250000,1.8460E-007
1220.500000,1.6430E-007
1220.750000,1.8830E-007
1221.000000,2.3730E-007
1221.250000,2.0930E-007
1221.500000,2.1240E-007
1221.750000,2.0530E-007
1222.000000,2.4160E-007
1222.250000,2.5770E-007
1222.500000,2.8120E-007
1222.750000,3.1420E-007
1223.000000,3.4440E-007
1223.250000,3.0920E-007
1223.500000,2.9710E-007
1223.750000,3.2290E-007
1224.000000,3.3100E-007
1224.250000,4.5140E-007
1224.500000,5.0670E-007
1224.750000,5.1310E-007
1225.000000,6.4150E-007
1225.250000,5.9580E-007
1225.500000,5.2190E-007
1225.750000,5.1020E-007
1226.000000,5.1380E-007
1226.250000,5.6670E-007
1226.500000,6.8100E-007
1226.750000,8.2730E-007
1227.000000,9.1540E-007
1227.250000,9.3080E-007
1227.500000,8.5900E-007
1227.750000,7.6990E-007
1228.000000,7.9330E-007
1228.250000,7.8520E-007
1228.500000,8.4940E-007
1228.750000,9.5800E-007
1229.000000,1.1960E-006
1229.250000,1.2810E-006
1229.500000,1.2460E-006
1229.750000,1.1420E-006
1230.000000,1.0040E-006
1230.250000,9.5590E-007
1230.500000,1.0420E-006
1230.750000,1.1480E-006
1231.000000,1.2470E-006
1231.250000,1.3910E-006
1231.500000,1.4940E-006
1231.750000,1.5940E-006
1232.000000,1.5110E-006
1232.250000,1.3990E-006
1232.500000,1.4350E-006
1232.750000,1.5470E-006
1233.000000,1.6440E-006
1233.250000,1.7140E-006
1233.500000,1.9960E-006
1233.750000,2.2920E-006
1234.000000,2.3420E-006
1234.250000,2.4250E-006
1234.500000,2.5150E-006
1234.750000,2.4580E-006
1235.000000,2.4110E-006
1235.250000,2.6360E-006
1235.500000,3.1280E-006
1235.750000,3.4770E-006
1236.000000,3.4610E-006
1236.250000,3.4790E-006
1236.500000,3.5100E-006
1236.750000,3.7220E-006
1237.000000,3.8550E-006
1237.250000,4.0910E-006
1237.500000,4.3680E-006
1237.750000,4.2040E-006
1238.000000,3.9750E-006
1238.250000,4.3480E-006
1238.500000,5.0030E-006
1238.750000,5.2780E-006
1239.000000,5.1160E-006
1239.250000,4.8400E-006
1239.500000,4.8530E-006
1239.750000,4.9640E-006
1240.000000,5.1940E-006
1240.250000,5.5930E-006
1240.500000,5.9580E-006
1240.750000,6.0070E-006
1241.000000,6.2030E-006
1241.250000,6.5050E-006
1241.500000,7.0450E-006
1241.750000,7.4860E-006
1242.000000,7.4970E-006
1242.250000,7.9480E-006
