File,WaveData20230724_023.csv,
Date/Time,23-07-24/02:12,

Center Wavelength,1450,nm
Span Wavelength,500,nm
Start Wavelength,1200,nm
Stop Wavelength,1700,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,1.0,nm
Actual Resolution,1.024,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Pulse Mode,Off,

Trace,A
Start,1200,nm
Stop,1700,nm
1200.000000,9.5470E-009
1200.250000,2.2990E-008
1200.500000,-5.7230E-009
1200.750000,1.4950E-008
1201.000000,1.9520E-009
1201.250000,2.2300E-008
1201.500000,2.2940E-008
1201.750000,-1.3180E-009
1202.000000,2.1640E-008
1202.250000,1.5480E-008
1202.500000,4.0680E-009
1202.750000,-1.3830E-008
1203.000000,-5.2010E-009
1203.250000,1.4060E-008
1203.500000,4.9450E-009
1203.750000,-2.1560E-009
1204.000000,-1.5380E-008
1204.250000,2.3120E-008
1204.500000,2.5600E-008
1204.750000,9.4310E-009
1205.000000,1.6270E-009
1205.250000,6.4040E-009
1205.500000,2.3200E-010
1205.750000,-1.1360E-008
1206.000000,1.3690E-008
1206.250000,-8.0490E-009
1206.500000,1.5860E-008
1206.750000,-7.0580E-009
1207.000000,2.6190E-008
1207.250000,-6.0650E-010
1207.500000,9.2510E-009
1207.750000,7.5320E-009
1208.000000,2.3780E-009
1208.250000,2.2180E-008
1208.500000,2.8030E-008
1208.750000,1.0500E-009
1209.000000,-5.0360E-010
1209.250000,-1.5750E-008
1209.500000,1.7510E-009
1209.750000,-2.6970E-009
1210.000000,1.4120E-008
1210.250000,2.3550E-008
1210.500000,1.3260E-008
1210.750000,1.2710E-008
1211.000000,-3.2650E-009
1211.250000,-4.4210E-009
1211.500000,8.7210E-009
1211.750000,7.5060E-009
1212.000000,-1.0380E-008
1212.250000,5.0820E-009
1212.500000,2.6300E-008
1212.750000,2.8090E-009
1213.000000,6.1140E-009
1213.250000,1.0090E-008
1213.500000,1.5580E-008
1213.750000,1.7330E-008
1214.000000,1.3080E-009
1214.250000,-2.0320E-009
1214.500000,1.7260E-008
1214.750000,2.2920E-008
1215.000000,6.5730E-009
1215.250000,-5.5070E-009
1215.500000,3.0020E-008
1215.750000,3.1750E-008
1216.000000,-6.2880E-009
1216.250000,8.7530E-009
1216.500000,3.0720E-008
1216.750000,1.3210E-008
1217.000000,9.4390E-009
1217.250000,3.4330E-009
1217.500000,1.4680E-008
1217.750000,5.9250E-010
1218.000000,3.4530E-008
1218.250000,-1.1310E-008
1218.500000,-6.2390E-009
1218.750000,3.0390E-009
1219.000000,1.5760E-008
1219.250000,-6.3280E-010
1219.500000,-6.9560E-009
1219.750000,4.7740E-009
1220.000000,1.1180E-008
1220.250000,7.4770E-009
1220.500000,-8.0740E-009
1220.750000,2.1990E-008
1221.000000,2.0130E-008
1221.250000,6.3870E-009
1221.500000,2.4630E-008
1221.750000,7.5580E-009
1222.000000,1.7150E-008
1222.250000,7.8030E-009
1222.500000,1.5930E-008
1222.750000,5.6310E-009
1223.000000,-6.4220E-010
1223.250000,1.8640E-008
1223.500000,2.2750E-008
1223.750000,2.9900E-008
1224.000000,1.8680E-008
1224.250000,2.2530E-008
1224.500000,1.2720E-008
1224.750000,2.4130E-008
1225.000000,2.6820E-008
1225.250000,1.7280E-008
1225.500000,1.7260E-008
1225.750000,2.1360E-008
1226.000000,-2.9280E-009
1226.250000,4.6430E-008
1226.500000,2.1710E-008
1226.750000,1.5580E-008
1227.000000,3.5030E-008
1227.250000,2.4890E-008
1227.500000,3.8550E-008
1227.750000,2.7170E-008
1228.000000,4.2070E-008
1228.250000,3.3400E-008
1228.500000,3.5270E-008
1228.750000,5.1490E-008
1229.000000,5.8650E-008
1229.250000,3.5100E-008
1229.500000,3.1920E-008
1229.750000,3.4600E-008
1230.000000,3.1450E-008
1230.250000,3.9600E-008
1230.500000,5.5730E-008
1230.750000,4.3830E-008
1231.000000,4.6810E-008
1231.250000,4.2150E-008
1231.500000,1.9790E-008
1231.750000,1.8730E-008
1232.000000,4.9580E-008
1232.250000,8.3200E-008
1232.500000,4.6930E-008
1232.750000,6.4350E-008
1233.000000,4.4010E-008
1233.250000,5.4870E-008
1233.500000,4.3270E-008
1233.750000,7.4940E-008
1234.000000,6.5150E-008
1234.250000,8.2530E-008
1234.500000,8.7530E-008
1234.750000,9.0360E-008
1235.000000,9.5690E-008
1235.250000,7.6130E-008
1235.500000,1.0780E-007
1235.750000,7.9430E-008
1236.000000,8.4040E-008
1236.250000,8.8680E-008
1236.500000,1.1270E-007
1236.750000,1.1540E-007
1237.000000,1.3210E-007
1237.250000,1.0780E-007
1237.500000,1.3360E-007
1237.750000,9.7490E-008
1238.000000,1.0990E-007
1238.250000,1.3560E-007
1238.500000,1.3660E-007
1238.750000,1.6210E-007
1239.000000,1.4970E-007
1239.250000,1.8150E-007
1239.500000,1.7000E-007
1239.750000,1.7090E-007
1240.000000,1.5500E-007
1240.250000,1.5490E-007
1240.500000,1.8060E-007
1240.750000,1.5840E-007
1241.000000,1.7250E-007
1241.250000,2.2910E-007
1241.500000,2.2790E-007
1241.750000,2.4090E-007
