File,WaveData20230801_092.csv,
Date/Time,23-08-01/02:25,

Center Wavelength,1450,nm
Span Wavelength,500,nm
Start Wavelength,1200,nm
Stop Wavelength,1700,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,1.0,nm
Actual Resolution,1.024,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Pulse Mode,Off,

Trace,A
Start,1200,nm
Stop,1700,nm
1200.000000,6.2170E-009
1200.250000,-2.6490E-009
1200.500000,1.0350E-008
1200.750000,7.7320E-009
1201.000000,2.0340E-008
1201.250000,2.1230E-008
1201.500000,2.1660E-008
1201.750000,2.7040E-008
1202.000000,2.8750E-008
1202.250000,2.7940E-008
1202.500000,4.2130E-009
1202.750000,2.6300E-008
1203.000000,-1.1270E-008
1203.250000,1.8200E-008
1203.500000,2.6370E-008
1203.750000,2.9870E-009
1204.000000,8.6960E-009
1204.250000,9.5770E-009
1204.500000,-8.6820E-009
1204.750000,1.6100E-008
1205.000000,-8.4570E-009
1205.250000,1.8780E-008
1205.500000,2.0060E-008
1205.750000,-1.2650E-008
1206.000000,1.4900E-008
1206.250000,1.5410E-008
1206.500000,9.2650E-010
1206.750000,8.0270E-009
1207.000000,1.9450E-008
1207.250000,9.5320E-010
1207.500000,2.5830E-009
1207.750000,1.1050E-008
1208.000000,-7.6430E-009
1208.250000,2.1080E-008
1208.500000,1.5760E-008
1208.750000,1.2370E-008
1209.000000,-8.1000E-009
1209.250000,-4.3130E-011
1209.500000,1.1830E-008
1209.750000,-1.6880E-008
1210.000000,1.4880E-008
1210.250000,1.7840E-008
1210.500000,1.2050E-008
1210.750000,9.7380E-009
1211.000000,4.5240E-009
1211.250000,1.2390E-008
1211.500000,2.4420E-008
1211.750000,2.7440E-009
1212.000000,4.5990E-009
1212.250000,2.5840E-008
1212.500000,6.2380E-009
1212.750000,3.5510E-009
1213.000000,2.3970E-008
1213.250000,5.8430E-010
1213.500000,1.3420E-008
1213.750000,8.5450E-010
1214.000000,2.1590E-008
1214.250000,6.4130E-009
1214.500000,1.9720E-008
1214.750000,3.0880E-008
1215.000000,-5.2520E-010
1215.250000,7.8790E-009
1215.500000,3.2650E-008
1215.750000,9.1280E-009
1216.000000,3.2670E-008
1216.250000,4.1930E-008
1216.500000,2.0670E-008
1216.750000,3.2810E-008
1217.000000,1.8690E-008
1217.250000,2.8650E-008
1217.500000,5.5770E-009
1217.750000,8.8880E-009
1218.000000,1.3350E-008
1218.250000,3.5080E-008
1218.500000,4.5410E-008
1218.750000,5.4010E-008
1219.000000,3.4950E-008
1219.250000,6.3020E-008
1219.500000,4.3250E-008
1219.750000,4.9220E-008
1220.000000,3.9190E-008
1220.250000,5.2290E-008
1220.500000,4.0170E-008
1220.750000,3.9830E-008
1221.000000,6.4190E-008
1221.250000,1.9170E-008
1221.500000,3.5330E-008
1221.750000,6.2460E-008
1222.000000,6.3300E-008
1222.250000,6.1760E-008
1222.500000,7.8070E-008
1222.750000,5.9780E-008
1223.000000,7.6710E-008
1223.250000,6.7020E-008
1223.500000,5.5610E-008
1223.750000,7.6440E-008
1224.000000,7.1930E-008
1224.250000,1.1060E-007
1224.500000,1.0030E-007
1224.750000,1.1570E-007
1225.000000,9.8860E-008
1225.250000,1.3880E-007
1225.500000,1.1050E-007
1225.750000,1.3210E-007
1226.000000,1.2020E-007
1226.250000,1.3730E-007
1226.500000,1.3910E-007
1226.750000,1.8350E-007
1227.000000,1.8480E-007
1227.250000,1.9220E-007
1227.500000,1.7830E-007
1227.750000,1.7590E-007
1228.000000,1.9180E-007
1228.250000,2.3390E-007
1228.500000,2.3190E-007
1228.750000,2.6610E-007
1229.000000,2.5700E-007
1229.250000,2.6060E-007
1229.500000,3.0520E-007
1229.750000,3.1960E-007
1230.000000,3.0250E-007
1230.250000,3.7510E-007
1230.500000,2.9960E-007
1230.750000,3.2120E-007
1231.000000,3.2050E-007
1231.250000,4.0520E-007
1231.500000,4.4510E-007
1231.750000,4.9350E-007
1232.000000,5.0690E-007
1232.250000,4.4990E-007
1232.500000,4.4810E-007
1232.750000,4.7300E-007
1233.000000,4.4110E-007
1233.250000,5.4150E-007
1233.500000,5.7690E-007
1233.750000,7.0430E-007
1234.000000,7.1700E-007
1234.250000,6.9410E-007
1234.500000,6.8700E-007
1234.750000,6.6420E-007
1235.000000,6.7410E-007
1235.250000,7.1140E-007
1235.500000,8.4280E-007
1235.750000,1.0070E-006
1236.000000,1.0260E-006
1236.250000,1.0650E-006
1236.500000,1.0080E-006
1236.750000,9.5620E-007
1237.000000,8.1740E-007
1237.250000,9.8130E-007
1237.500000,1.2250E-006
1237.750000,1.3610E-006
1238.000000,1.3730E-006
1238.250000,1.3370E-006
1238.500000,1.3780E-006
1238.750000,1.2560E-006
1239.000000,1.3020E-006
1239.250000,1.4420E-006
1239.500000,1.6060E-006
1239.750000,1.6390E-006
1240.000000,1.6330E-006
1240.250000,1.7350E-006
1240.500000,1.8120E-006
1240.750000,1.7550E-006
1241.000000,1.7950E-006
1241.250000,1.8680E-006
1241.500000,2.1080E-006
1241.750000,2.2570E-006
1242.000000,2.4360E-006
