File,WaveData20230730_043.csv,
Date/Time,23-07-30/05:46,

Center Wavelength,1450,nm
Span Wavelength,500,nm
Start Wavelength,1200,nm
Stop Wavelength,1700,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,1.0,nm
Actual Resolution,1.024,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Pulse Mode,Off,

Trace,A
Start,1200,nm
Stop,1700,nm
1200.000000,1.4800E-008
1200.250000,3.1210E-009
1200.500000,1.0180E-008
1200.750000,-6.7610E-010
1201.000000,3.7010E-009
1201.250000,-9.7170E-009
1201.500000,-1.3820E-008
1201.750000,2.7260E-008
1202.000000,3.9390E-009
1202.250000,9.4960E-009
1202.500000,-1.5510E-009
1202.750000,-5.4380E-009
1203.000000,7.9470E-009
1203.250000,1.0800E-009
1203.500000,-1.2350E-008
1203.750000,3.1840E-008
1204.000000,4.3250E-009
1204.250000,-1.0360E-008
1204.500000,3.0670E-009
1204.750000,-3.3420E-010
1205.000000,1.3800E-009
1205.250000,5.0820E-010
1205.500000,9.5190E-009
1205.750000,1.6050E-008
1206.000000,3.9110E-010
1206.250000,-7.0070E-009
1206.500000,-3.7930E-009
1206.750000,4.7150E-009
1207.000000,9.0480E-009
1207.250000,-9.6340E-009
1207.500000,-1.3550E-009
1207.750000,1.4630E-008
1208.000000,1.4460E-008
1208.250000,-7.8100E-009
1208.500000,4.4620E-009
1208.750000,-4.1000E-009
1209.000000,1.7950E-008
1209.250000,1.5610E-008
1209.500000,-1.0020E-008
1209.750000,4.9660E-009
1210.000000,-7.9890E-009
1210.250000,-2.4950E-009
1210.500000,6.9360E-009
1210.750000,1.5740E-009
1211.000000,-7.7470E-009
1211.250000,2.6560E-008
1211.500000,1.5890E-008
1211.750000,-3.7620E-008
1212.000000,1.9830E-008
1212.250000,4.2970E-009
1212.500000,1.0770E-008
1212.750000,-2.1390E-010
1213.000000,1.5310E-008
1213.250000,-5.3010E-009
1213.500000,2.5630E-010
1213.750000,9.6130E-009
1214.000000,1.4190E-008
1214.250000,2.8280E-009
1214.500000,2.6780E-008
1214.750000,-1.1500E-008
1215.000000,1.4080E-008
1215.250000,2.7440E-008
1215.500000,-2.9020E-008
1215.750000,6.9320E-009
1216.000000,4.8710E-009
1216.250000,2.5220E-008
1216.500000,3.1040E-008
1216.750000,-9.6440E-009
1217.000000,4.2240E-009
1217.250000,-1.3910E-008
1217.500000,4.2770E-009
1217.750000,1.5950E-008
1218.000000,1.1430E-008
1218.250000,2.9040E-009
1218.500000,1.0930E-008
1218.750000,1.1000E-008
1219.000000,1.2020E-008
1219.250000,3.1270E-008
1219.500000,2.1210E-009
1219.750000,1.8110E-008
1220.000000,3.6280E-008
1220.250000,3.6200E-008
1220.500000,2.7660E-008
1220.750000,6.9180E-008
1221.000000,5.0600E-008
1221.250000,9.1240E-008
1221.500000,7.4560E-008
1221.750000,9.7180E-008
1222.000000,9.7590E-008
1222.250000,1.2320E-007
1222.500000,1.1260E-007
1222.750000,7.7350E-008
1223.000000,1.2320E-007
1223.250000,6.3470E-008
1223.500000,5.7840E-008
1223.750000,7.8340E-008
1224.000000,6.0400E-008
1224.250000,5.9030E-008
1224.500000,8.7020E-008
1224.750000,8.5550E-008
1225.000000,8.2400E-008
1225.250000,8.9600E-008
1225.500000,6.5890E-008
1225.750000,8.6770E-008
1226.000000,6.3400E-008
1226.250000,8.7530E-008
1226.500000,1.0890E-007
1226.750000,9.5020E-008
1227.000000,1.5090E-007
1227.250000,1.6930E-007
1227.500000,1.8940E-007
1227.750000,2.3200E-007
1228.000000,2.6670E-007
1228.250000,3.2670E-007
1228.500000,3.1170E-007
1228.750000,3.5650E-007
1229.000000,4.1470E-007
1229.250000,4.2340E-007
1229.500000,4.8100E-007
1229.750000,4.1570E-007
1230.000000,3.8160E-007
1230.250000,3.3240E-007
1230.500000,2.8200E-007
1230.750000,3.3790E-007
1231.000000,2.8850E-007
1231.250000,3.4300E-007
1231.500000,3.2150E-007
1231.750000,3.5360E-007
1232.000000,2.7720E-007
1232.250000,2.5490E-007
1232.500000,2.2290E-007
1232.750000,2.1170E-007
1233.000000,1.8580E-007
1233.250000,1.9400E-007
1233.500000,2.1660E-007
1233.750000,2.1140E-007
1234.000000,2.0630E-007
1234.250000,2.8230E-007
1234.500000,2.8590E-007
1234.750000,3.8230E-007
1235.000000,4.6240E-007
1235.250000,4.5690E-007
1235.500000,5.5780E-007
1235.750000,6.5200E-007
1236.000000,6.8050E-007
1236.250000,7.1780E-007
1236.500000,6.9660E-007
1236.750000,7.9540E-007
1237.000000,7.6060E-007
1237.250000,8.1640E-007
1237.500000,7.7470E-007
1237.750000,8.4520E-007
1238.000000,8.6650E-007
1238.250000,9.1100E-007
1238.500000,9.5380E-007
1238.750000,9.1670E-007
1239.000000,9.1460E-007
1239.250000,8.5980E-007
1239.500000,8.2690E-007
1239.750000,8.6170E-007
1240.000000,8.7370E-007
1240.250000,9.3370E-007
1240.500000,1.1250E-006
1240.750000,1.2730E-006
1241.000000,1.4660E-006
1241.250000,1.6910E-006
1241.500000,1.9140E-006
1241.750000,1.9840E-006
