File,WaveData20230804_130.csv,
Date/Time,23-08-04/08:27,

Center Wavelength,1450,nm
Span Wavelength,500,nm
Start Wavelength,1200,nm
Stop Wavelength,1700,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,1.0,nm
Actual Resolution,1.024,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Pulse Mode,Off,

Trace,A
Start,1200,nm
Stop,1700,nm
1200.000000,1.6650E-008
1200.250000,1.8470E-008
1200.500000,1.6870E-008
1200.750000,-1.2330E-008
1201.000000,6.0810E-009
1201.250000,-8.0730E-009
1201.500000,2.5210E-009
1201.750000,-7.9720E-009
1202.000000,1.3780E-008
1202.250000,8.3120E-009
1202.500000,1.6660E-008
1202.750000,-6.1990E-009
1203.000000,4.8940E-008
1203.250000,-5.9850E-009
1203.500000,-2.7860E-009
1203.750000,6.1500E-009
1204.000000,-1.2920E-008
1204.250000,-7.3650E-009
1204.500000,1.7940E-008
1204.750000,-1.5240E-008
1205.000000,-1.3010E-008
1205.250000,-1.5960E-009
1205.500000,8.0090E-009
1205.750000,1.5950E-008
1206.000000,-4.1290E-009
1206.250000,1.8530E-009
1206.500000,2.7680E-008
1206.750000,6.0170E-009
1207.000000,1.2670E-008
1207.250000,3.4180E-008
1207.500000,-3.9960E-009
1207.750000,1.2250E-008
1208.000000,6.7770E-010
1208.250000,1.5600E-008
1208.500000,1.0180E-008
1208.750000,1.8540E-008
1209.000000,2.7970E-008
1209.250000,2.5600E-008
1209.500000,1.0400E-008
1209.750000,1.4790E-008
1210.000000,8.3180E-010
1210.250000,1.2620E-008
1210.500000,1.4780E-008
1210.750000,5.0680E-009
1211.000000,6.1140E-009
1211.250000,3.4760E-009
1211.500000,-1.1390E-008
1211.750000,2.4650E-008
1212.000000,7.5000E-009
1212.250000,6.8240E-009
1212.500000,-9.7490E-009
1212.750000,9.6000E-009
1213.000000,1.0200E-008
1213.250000,1.1910E-008
1213.500000,4.3130E-008
1213.750000,-6.4230E-009
1214.000000,-3.7840E-009
1214.250000,1.6770E-009
1214.500000,7.3940E-009
1214.750000,4.5880E-008
1215.000000,2.5830E-009
1215.250000,1.6940E-008
1215.500000,1.9960E-008
1215.750000,2.1030E-008
1216.000000,-1.2870E-008
1216.250000,1.9090E-008
1216.500000,3.3390E-009
1216.750000,2.1020E-008
1217.000000,3.1680E-008
1217.250000,7.8140E-009
1217.500000,5.9290E-008
1217.750000,1.8550E-008
1218.000000,2.8350E-008
1218.250000,2.4190E-008
1218.500000,1.4470E-008
1218.750000,2.0600E-008
1219.000000,4.1170E-008
1219.250000,3.6410E-008
1219.500000,3.2360E-008
1219.750000,9.2520E-009
1220.000000,3.2830E-008
1220.250000,7.6040E-009
1220.500000,2.2420E-008
1220.750000,2.3660E-008
1221.000000,3.8300E-008
1221.250000,4.2420E-008
1221.500000,4.3280E-008
1221.750000,2.8110E-008
1222.000000,2.7200E-008
1222.250000,2.7630E-008
1222.500000,4.2130E-008
1222.750000,2.2110E-008
1223.000000,3.9540E-008
1223.250000,5.8500E-008
1223.500000,2.7690E-008
1223.750000,3.7720E-008
1224.000000,6.3880E-008
1224.250000,6.8900E-008
1224.500000,6.2070E-008
1224.750000,6.7240E-008
1225.000000,8.0290E-008
1225.250000,9.1780E-008
1225.500000,1.0690E-007
1225.750000,7.1020E-008
1226.000000,8.3630E-008
1226.250000,7.4380E-008
1226.500000,1.1040E-007
1226.750000,9.5460E-008
1227.000000,1.2060E-007
1227.250000,1.2020E-007
1227.500000,1.3450E-007
1227.750000,1.0780E-007
1228.000000,9.7850E-008
1228.250000,1.3230E-007
1228.500000,1.1020E-007
1228.750000,1.4090E-007
1229.000000,1.2890E-007
1229.250000,1.8750E-007
1229.500000,2.0180E-007
1229.750000,1.9040E-007
1230.000000,1.6070E-007
1230.250000,1.5960E-007
1230.500000,2.1320E-007
1230.750000,1.7830E-007
1231.000000,1.9780E-007
1231.250000,2.3160E-007
1231.500000,2.4520E-007
1231.750000,3.2430E-007
1232.000000,3.7430E-007
1232.250000,2.4600E-007
1232.500000,2.9180E-007
1232.750000,2.7490E-007
1233.000000,3.2940E-007
1233.250000,3.6120E-007
1233.500000,3.4430E-007
1233.750000,3.3560E-007
1234.000000,4.3660E-007
1234.250000,4.1710E-007
1234.500000,4.6410E-007
1234.750000,4.6670E-007
1235.000000,4.2990E-007
1235.250000,4.2310E-007
1235.500000,4.8080E-007
1235.750000,5.1830E-007
1236.000000,5.5900E-007
1236.250000,5.4070E-007
1236.500000,6.4090E-007
1236.750000,6.0750E-007
1237.000000,5.7610E-007
1237.250000,6.0760E-007
1237.500000,6.6350E-007
1237.750000,7.3780E-007
1238.000000,7.1210E-007
1238.250000,7.9490E-007
1238.500000,8.2860E-007
1238.750000,8.6380E-007
1239.000000,8.6550E-007
1239.250000,8.6200E-007
1239.500000,8.6620E-007
1239.750000,9.1810E-007
1240.000000,9.3150E-007
1240.250000,1.0550E-006
1240.500000,1.1230E-006
1240.750000,1.2180E-006
1241.000000,1.1820E-006
1241.250000,1.0750E-006
1241.500000,1.1130E-006
1241.750000,1.2460E-006
