File,WaveData20230724_029.csv,
Date/Time,23-07-24/04:39,

Center Wavelength,1450,nm
Span Wavelength,500,nm
Start Wavelength,1200,nm
Stop Wavelength,1700,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,1.0,nm
Actual Resolution,1.024,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Pulse Mode,Off,

Trace,A
Start,1200,nm
Stop,1700,nm
1200.000000,1.0310E-008
1200.250000,1.2970E-008
1200.500000,8.9730E-009
1200.750000,1.3710E-008
1201.000000,1.0370E-008
1201.250000,-3.3750E-010
1201.500000,1.8360E-008
1201.750000,2.2700E-009
1202.000000,-1.1420E-009
1202.250000,2.3300E-008
1202.500000,-1.1880E-008
1202.750000,1.6500E-008
1203.000000,7.9330E-009
1203.250000,1.7850E-008
1203.500000,2.8290E-009
1203.750000,2.5140E-008
1204.000000,-5.1120E-009
1204.250000,5.2530E-009
1204.500000,-3.1110E-009
1204.750000,6.6110E-009
1205.000000,1.7080E-008
1205.250000,-1.4860E-008
1205.500000,1.0980E-008
1205.750000,6.9590E-009
1206.000000,2.6070E-010
1206.250000,9.8730E-009
1206.500000,-4.2990E-009
1206.750000,-3.2100E-009
1207.000000,2.3890E-008
1207.250000,1.8170E-008
1207.500000,-1.1610E-008
1207.750000,-1.7350E-008
1208.000000,3.7310E-008
1208.250000,7.9680E-009
1208.500000,2.1930E-008
1208.750000,1.0330E-008
1209.000000,-1.4450E-008
1209.250000,-8.4680E-009
1209.500000,-1.4730E-008
1209.750000,1.1030E-008
1210.000000,2.2060E-008
1210.250000,6.3390E-009
1210.500000,1.5640E-008
1210.750000,1.3020E-009
1211.000000,1.7850E-008
1211.250000,1.0630E-008
1211.500000,1.7410E-008
1211.750000,6.7910E-009
1212.000000,1.2920E-008
1212.250000,1.2660E-008
1212.500000,2.9540E-009
1212.750000,1.3480E-008
1213.000000,1.0040E-008
1213.250000,2.1110E-008
1213.500000,-7.1910E-009
1213.750000,1.6330E-008
1214.000000,-1.2700E-008
1214.250000,2.7430E-009
1214.500000,1.9770E-008
1214.750000,3.9640E-008
1215.000000,1.0430E-008
1215.250000,1.4750E-008
1215.500000,6.3410E-009
1215.750000,8.2210E-009
1216.000000,1.8290E-008
1216.250000,-2.2940E-009
1216.500000,2.5290E-008
1216.750000,5.2590E-009
1217.000000,3.0370E-008
1217.250000,2.0140E-008
1217.500000,3.2610E-009
1217.750000,9.8760E-009
1218.000000,1.0990E-009
1218.250000,4.4600E-008
1218.500000,2.0570E-008
1218.750000,2.6860E-008
1219.000000,2.7860E-008
1219.250000,2.3560E-008
1219.500000,3.9280E-008
1219.750000,3.3570E-008
1220.000000,1.2480E-008
1220.250000,1.9410E-008
1220.500000,1.7550E-008
1220.750000,1.6490E-008
1221.000000,1.4300E-008
1221.250000,4.0050E-008
1221.500000,3.6450E-008
1221.750000,4.4020E-008
1222.000000,2.0070E-008
1222.250000,4.1800E-009
1222.500000,4.4020E-008
1222.750000,3.5010E-008
1223.000000,4.7260E-008
1223.250000,3.5630E-008
1223.500000,3.6820E-008
1223.750000,4.5470E-008
1224.000000,5.0700E-008
1224.250000,3.6780E-008
1224.500000,2.8230E-008
1224.750000,6.4350E-009
1225.000000,9.5750E-009
1225.250000,2.7370E-008
1225.500000,1.1640E-008
1225.750000,3.8810E-008
1226.000000,5.4270E-008
1226.250000,6.7220E-008
1226.500000,6.9140E-008
1226.750000,7.9670E-008
1227.000000,8.4010E-008
1227.250000,9.6440E-008
1227.500000,1.2470E-007
1227.750000,1.0910E-007
1228.000000,1.4750E-007
1228.250000,1.5400E-007
1228.500000,1.4640E-007
1228.750000,1.5790E-007
1229.000000,1.3050E-007
1229.250000,1.2920E-007
1229.500000,1.1160E-007
1229.750000,1.2100E-007
1230.000000,1.1940E-007
1230.250000,1.4130E-007
1230.500000,1.3230E-007
1230.750000,1.5630E-007
1231.000000,1.3110E-007
1231.250000,1.6150E-007
1231.500000,1.6310E-007
1231.750000,2.3120E-007
1232.000000,3.3380E-007
1232.250000,4.1270E-007
1232.500000,4.2970E-007
1232.750000,4.6650E-007
1233.000000,3.8730E-007
1233.250000,3.2550E-007
1233.500000,2.7490E-007
1233.750000,3.4530E-007
1234.000000,4.1480E-007
1234.250000,4.5100E-007
1234.500000,5.2550E-007
1234.750000,5.0780E-007
1235.000000,4.9050E-007
1235.250000,4.8290E-007
1235.500000,5.1510E-007
1235.750000,4.9710E-007
1236.000000,5.4840E-007
1236.250000,6.0670E-007
1236.500000,6.6180E-007
1236.750000,6.4020E-007
1237.000000,6.3810E-007
1237.250000,6.1270E-007
1237.500000,6.5470E-007
1237.750000,7.0720E-007
1238.000000,7.6920E-007
1238.250000,8.7010E-007
1238.500000,8.7590E-007
1238.750000,8.8490E-007
1239.000000,9.0220E-007
1239.250000,8.9940E-007
1239.500000,9.8750E-007
1239.750000,9.6950E-007
1240.000000,1.0070E-006
1240.250000,1.0330E-006
1240.500000,1.0670E-006
1240.750000,1.0290E-006
1241.000000,1.1170E-006
1241.250000,1.1900E-006
1241.500000,1.2960E-006
1241.750000,1.3320E-006
