File,WaveData20230801_082.csv,
Date/Time,23-08-01/01:44,

Center Wavelength,1450,nm
Span Wavelength,500,nm
Start Wavelength,1200,nm
Stop Wavelength,1700,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,1.0,nm
Actual Resolution,1.024,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Pulse Mode,Off,

Trace,A
Start,1200,nm
Stop,1700,nm
1200.000000,4.0750E-008
1200.250000,2.7700E-008
1200.500000,3.1000E-008
1200.750000,3.3440E-008
1201.000000,3.5990E-008
1201.250000,2.5400E-008
1201.500000,4.4180E-008
1201.750000,3.0100E-008
1202.000000,3.4500E-008
1202.250000,1.9810E-008
1202.500000,3.1670E-008
1202.750000,4.0360E-008
1203.000000,5.1180E-008
1203.250000,2.1820E-008
1203.500000,2.3880E-008
1203.750000,4.0240E-008
1204.000000,2.5860E-008
1204.250000,4.7170E-008
1204.500000,3.8890E-008
1204.750000,3.6110E-008
1205.000000,2.6280E-008
1205.250000,2.7110E-008
1205.500000,4.3390E-008
1205.750000,3.1140E-008
1206.000000,1.6290E-008
1206.250000,4.1510E-008
1206.500000,2.3270E-008
1206.750000,1.4980E-008
1207.000000,2.1540E-008
1207.250000,1.5810E-008
1207.500000,2.5840E-008
1207.750000,3.2670E-008
1208.000000,2.6620E-008
1208.250000,5.9480E-008
1208.500000,4.2510E-008
1208.750000,3.4200E-008
1209.000000,2.8620E-008
1209.250000,4.6500E-008
1209.500000,4.0560E-008
1209.750000,3.3380E-008
1210.000000,3.5150E-008
1210.250000,2.9660E-008
1210.500000,4.0390E-008
1210.750000,1.4280E-008
1211.000000,7.1260E-008
1211.250000,2.5110E-008
1211.500000,3.4910E-008
1211.750000,5.0660E-008
1212.000000,3.1770E-008
1212.250000,7.1440E-008
1212.500000,3.1050E-008
1212.750000,7.5130E-008
1213.000000,7.6900E-008
1213.250000,5.8870E-008
1213.500000,4.6080E-008
1213.750000,5.2930E-008
1214.000000,5.8370E-008
1214.250000,2.4630E-008
1214.500000,4.9390E-008
1214.750000,2.7680E-008
1215.000000,5.7960E-008
1215.250000,4.9750E-008
1215.500000,7.1060E-008
1215.750000,8.3290E-008
1216.000000,7.3420E-008
1216.250000,7.9440E-008
1216.500000,8.1750E-008
1216.750000,7.6190E-008
1217.000000,8.7480E-008
1217.250000,7.5040E-008
1217.500000,9.6340E-008
1217.750000,1.1330E-007
1218.000000,8.8450E-008
1218.250000,1.0690E-007
1218.500000,1.1600E-007
1218.750000,1.1150E-007
1219.000000,9.9960E-008
1219.250000,9.7570E-008
1219.500000,1.2100E-007
1219.750000,1.4650E-007
1220.000000,1.1700E-007
1220.250000,1.4470E-007
1220.500000,1.5160E-007
1220.750000,1.5120E-007
1221.000000,1.5770E-007
1221.250000,1.5730E-007
1221.500000,1.6920E-007
1221.750000,1.9640E-007
1222.000000,1.8520E-007
1222.250000,2.3560E-007
1222.500000,2.5410E-007
1222.750000,2.2150E-007
1223.000000,2.5740E-007
1223.250000,2.2980E-007
1223.500000,2.4740E-007
1223.750000,2.3280E-007
1224.000000,2.3960E-007
1224.250000,2.9200E-007
1224.500000,3.3110E-007
1224.750000,3.7060E-007
1225.000000,3.2750E-007
1225.250000,3.9160E-007
1225.500000,4.0450E-007
1225.750000,3.9240E-007
1226.000000,4.8220E-007
1226.250000,5.3710E-007
1226.500000,6.1500E-007
1226.750000,7.1870E-007
1227.000000,8.2550E-007
1227.250000,8.6840E-007
1227.500000,8.5530E-007
1227.750000,7.9690E-007
1228.000000,8.5650E-007
1228.250000,9.0010E-007
1228.500000,8.8210E-007
1228.750000,9.1100E-007
1229.000000,9.6790E-007
1229.250000,1.0620E-006
1229.500000,1.0800E-006
1229.750000,1.1420E-006
1230.000000,1.2530E-006
1230.250000,1.2810E-006
1230.500000,1.2040E-006
1230.750000,1.1740E-006
1231.000000,1.1580E-006
1231.250000,1.2890E-006
1231.500000,1.4350E-006
1231.750000,1.4320E-006
1232.000000,1.4890E-006
1232.250000,1.5260E-006
1232.500000,1.5160E-006
1232.750000,1.5890E-006
1233.000000,1.5840E-006
1233.250000,1.5980E-006
1233.500000,1.7700E-006
1233.750000,1.8540E-006
1234.000000,1.8100E-006
1234.250000,1.7700E-006
1234.500000,1.8530E-006
1234.750000,1.8130E-006
1235.000000,1.8920E-006
1235.250000,2.0810E-006
1235.500000,2.4300E-006
1235.750000,2.9640E-006
1236.000000,3.1600E-006
1236.250000,3.3000E-006
1236.500000,3.1850E-006
1236.750000,2.9050E-006
1237.000000,2.8420E-006
1237.250000,3.4230E-006
1237.500000,4.5130E-006
1237.750000,5.1350E-006
1238.000000,5.1450E-006
1238.250000,5.0100E-006
1238.500000,4.7800E-006
1238.750000,4.3680E-006
1239.000000,4.4990E-006
1239.250000,5.3130E-006
1239.500000,6.1260E-006
1239.750000,6.3820E-006
1240.000000,6.3520E-006
1240.250000,6.7100E-006
1240.500000,7.0910E-006
1240.750000,7.1190E-006
1241.000000,7.1970E-006
1241.250000,7.6030E-006
1241.500000,8.1880E-006
1241.750000,8.3840E-006
1242.000000,8.6920E-006
1242.250000,9.2670E-006
