File,WaveData20230724_037.csv,
Date/Time,23-07-24/05:40,

Center Wavelength,1450,nm
Span Wavelength,500,nm
Start Wavelength,1200,nm
Stop Wavelength,1700,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,1.0,nm
Actual Resolution,1.024,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Pulse Mode,Off,

Trace,A
Start,1200,nm
Stop,1700,nm
1200.000000,-1.0830E-008
1200.250000,-5.6820E-009
1200.500000,-1.1410E-008
1200.750000,3.5710E-009
1201.000000,-1.7330E-008
1201.250000,-2.7630E-008
1201.500000,-7.3030E-009
1201.750000,-4.1910E-009
1202.000000,6.2970E-009
1202.250000,-1.7940E-008
1202.500000,8.2530E-009
1202.750000,-4.6780E-010
1203.000000,-2.9940E-009
1203.250000,-2.0110E-008
1203.500000,-7.7600E-009
1203.750000,-3.8620E-009
1204.000000,-1.0220E-008
1204.250000,-1.1680E-008
1204.500000,-1.0410E-008
1204.750000,1.3320E-008
1205.000000,6.0020E-009
1205.250000,1.1540E-008
1205.500000,-5.3820E-009
1205.750000,2.0440E-009
1206.000000,-1.1210E-008
1206.250000,-2.4150E-008
1206.500000,-1.1650E-008
1206.750000,2.0100E-009
1207.000000,9.5530E-009
1207.250000,5.2130E-009
1207.500000,-2.2950E-008
1207.750000,-1.9110E-008
1208.000000,9.8780E-009
1208.250000,1.3440E-008
1208.500000,-1.0980E-008
1208.750000,1.5940E-008
1209.000000,-1.5090E-009
1209.250000,-2.6290E-009
1209.500000,-1.2670E-008
1209.750000,-1.1840E-008
1210.000000,1.3630E-008
1210.250000,-2.7230E-008
1210.500000,1.6120E-008
1210.750000,7.6610E-009
1211.000000,-5.8560E-009
1211.250000,7.2110E-009
1211.500000,-6.0480E-009
1211.750000,9.4360E-010
1212.000000,-1.2210E-008
1212.250000,2.5570E-008
1212.500000,-1.0290E-008
1212.750000,1.0920E-008
1213.000000,-4.5320E-009
1213.250000,2.1810E-008
1213.500000,-7.7760E-009
1213.750000,1.5530E-008
1214.000000,-1.8190E-008
1214.250000,1.0400E-008
1214.500000,-2.3820E-008
1214.750000,1.0790E-008
1215.000000,-1.1960E-008
1215.250000,1.5340E-008
1215.500000,-3.0490E-009
1215.750000,2.4920E-008
1216.000000,-6.3740E-009
1216.250000,-2.6310E-008
1216.500000,-1.0670E-008
1216.750000,1.8220E-008
1217.000000,3.5410E-008
1217.250000,5.8770E-009
1217.500000,9.5020E-009
1217.750000,-7.8860E-009
1218.000000,2.0330E-008
1218.250000,1.2260E-009
1218.500000,-7.1690E-009
1218.750000,1.9700E-009
1219.000000,3.4020E-009
1219.250000,3.8390E-009
1219.500000,-5.5500E-009
1219.750000,9.0570E-009
1220.000000,1.1630E-008
1220.250000,-2.9310E-009
1220.500000,-1.0450E-008
1220.750000,1.1640E-008
1221.000000,9.6090E-009
1221.250000,1.1200E-009
1221.500000,-2.0430E-009
1221.750000,-9.3630E-009
1222.000000,7.8870E-009
1222.250000,-8.7400E-009
1222.500000,-1.9670E-008
1222.750000,-3.0600E-009
1223.000000,-1.5350E-008
1223.250000,-9.2430E-009
1223.500000,1.6690E-008
1223.750000,9.3890E-009
1224.000000,1.6590E-008
1224.250000,-5.4360E-010
1224.500000,1.7600E-008
1224.750000,2.4980E-008
1225.000000,1.4960E-008
1225.250000,1.2450E-008
1225.500000,-2.9050E-009
1225.750000,-1.3210E-008
1226.000000,2.0820E-010
1226.250000,3.4160E-008
1226.500000,-4.0090E-009
1226.750000,9.1350E-009
1227.000000,1.2870E-008
1227.250000,2.1990E-008
1227.500000,1.7410E-008
1227.750000,1.6390E-008
1228.000000,-3.6470E-009
1228.250000,3.4360E-008
1228.500000,3.9640E-008
1228.750000,2.6440E-008
1229.000000,1.7590E-008
1229.250000,3.0300E-008
1229.500000,1.5140E-008
1229.750000,4.2050E-008
1230.000000,8.6070E-009
1230.250000,-4.0560E-009
1230.500000,3.4510E-008
1230.750000,1.9030E-008
1231.000000,5.3950E-008
1231.250000,1.6990E-008
1231.500000,5.7400E-008
1231.750000,2.0130E-008
1232.000000,5.8540E-008
1232.250000,1.9620E-008
1232.500000,3.8620E-008
1232.750000,2.4600E-010
1233.000000,1.9930E-008
1233.250000,5.3460E-008
1233.500000,-1.1610E-008
1233.750000,4.7790E-008
1234.000000,5.4920E-008
1234.250000,4.8140E-008
1234.500000,7.5010E-008
1234.750000,8.2950E-008
1235.000000,9.6060E-008
1235.250000,1.1150E-007
1235.500000,1.1150E-007
1235.750000,1.2010E-007
1236.000000,1.3560E-007
1236.250000,1.3200E-007
1236.500000,1.1620E-007
1236.750000,7.4790E-008
1237.000000,1.1650E-007
1237.250000,8.0630E-008
1237.500000,7.9140E-008
1237.750000,5.4200E-008
1238.000000,8.9160E-008
1238.250000,1.0160E-007
1238.500000,1.5680E-007
1238.750000,1.5200E-007
1239.000000,1.6840E-007
1239.250000,1.8260E-007
1239.500000,2.3600E-007
1239.750000,2.4990E-007
1240.000000,2.3540E-007
1240.250000,2.6310E-007
1240.500000,3.0220E-007
1240.750000,2.8240E-007
1241.000000,2.6590E-007
