File,WaveData20230805_159.csv,
Date/Time,23-08-05/06:04,

Center Wavelength,1450,nm
Span Wavelength,500,nm
Start Wavelength,1200,nm
Stop Wavelength,1700,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,1.0,nm
Actual Resolution,1.024,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Pulse Mode,Off,

Trace,A
Start,1200,nm
Stop,1700,nm
1200.000000,4.1490E-008
1200.250000,4.2850E-008
1200.500000,1.9100E-008
1200.750000,3.3460E-008
1201.000000,3.0410E-008
1201.250000,5.3370E-008
1201.500000,3.8520E-008
1201.750000,4.7870E-008
1202.000000,4.6400E-008
1202.250000,3.6620E-008
1202.500000,4.2890E-008
1202.750000,1.8390E-008
1203.000000,2.5320E-008
1203.250000,2.6950E-008
1203.500000,5.5560E-008
1203.750000,2.7010E-008
1204.000000,5.6020E-008
1204.250000,4.0510E-008
1204.500000,1.8520E-008
1204.750000,3.7120E-008
1205.000000,4.6290E-008
1205.250000,2.0350E-008
1205.500000,5.3280E-008
1205.750000,3.7440E-008
1206.000000,3.2640E-008
1206.250000,4.9360E-008
1206.500000,2.2460E-008
1206.750000,2.6420E-008
1207.000000,4.4510E-008
1207.250000,3.9320E-008
1207.500000,5.9150E-008
1207.750000,3.3960E-008
1208.000000,6.8420E-008
1208.250000,6.3100E-008
1208.500000,2.5970E-008
1208.750000,4.4760E-008
1209.000000,4.1540E-008
1209.250000,4.2990E-008
1209.500000,4.7980E-008
1209.750000,1.8790E-008
1210.000000,1.8640E-008
1210.250000,4.9330E-008
1210.500000,2.9440E-008
1210.750000,5.0010E-008
1211.000000,7.1420E-008
1211.250000,5.9580E-008
1211.500000,6.6290E-008
1211.750000,4.0640E-008
1212.000000,6.0470E-008
1212.250000,7.7330E-008
1212.500000,4.3640E-008
1212.750000,3.0040E-008
1213.000000,5.0170E-008
1213.250000,4.8850E-008
1213.500000,2.4380E-008
1213.750000,5.9360E-008
1214.000000,7.7130E-008
1214.250000,6.6000E-008
1214.500000,5.9980E-008
1214.750000,3.2690E-008
1215.000000,7.9370E-008
1215.250000,5.6450E-008
1215.500000,6.2520E-008
1215.750000,7.9070E-008
1216.000000,5.8960E-008
1216.250000,6.6170E-008
1216.500000,7.5600E-008
1216.750000,8.6200E-008
1217.000000,7.2780E-008
1217.250000,8.7940E-008
1217.500000,6.6980E-008
1217.750000,1.0330E-007
1218.000000,9.4820E-008
1218.250000,1.1130E-007
1218.500000,1.2150E-007
1218.750000,1.1070E-007
1219.000000,1.1410E-007
1219.250000,9.6500E-008
1219.500000,1.1960E-007
1219.750000,1.4560E-007
1220.000000,1.1110E-007
1220.250000,1.1950E-007
1220.500000,1.2790E-007
1220.750000,1.4640E-007
1221.000000,1.7300E-007
1221.250000,1.8290E-007
1221.500000,1.8990E-007
1221.750000,1.6850E-007
1222.000000,1.7660E-007
1222.250000,1.9250E-007
1222.500000,1.9210E-007
1222.750000,1.9250E-007
1223.000000,2.3960E-007
1223.250000,2.7150E-007
1223.500000,2.6040E-007
1223.750000,2.8030E-007
1224.000000,2.7150E-007
1224.250000,2.5200E-007
1224.500000,3.0170E-007
1224.750000,3.2800E-007
1225.000000,3.1870E-007
1225.250000,3.8390E-007
1225.500000,4.2030E-007
1225.750000,4.3620E-007
1226.000000,4.4880E-007
1226.250000,4.5990E-007
1226.500000,4.4620E-007
1226.750000,4.3790E-007
1227.000000,5.1140E-007
1227.250000,5.4460E-007
1227.500000,5.2540E-007
1227.750000,6.5220E-007
1228.000000,7.6740E-007
1228.250000,7.4980E-007
1228.500000,7.9170E-007
1228.750000,7.4730E-007
1229.000000,7.7720E-007
1229.250000,8.7290E-007
1229.500000,9.5200E-007
1229.750000,1.1020E-006
1230.000000,1.2270E-006
1230.250000,1.1820E-006
1230.500000,1.1190E-006
1230.750000,1.0390E-006
1231.000000,1.0280E-006
1231.250000,1.1700E-006
1231.500000,1.3420E-006
1231.750000,1.6250E-006
1232.000000,1.8730E-006
1232.250000,1.9220E-006
1232.500000,1.8730E-006
1232.750000,1.6750E-006
1233.000000,1.4390E-006
1233.250000,1.5090E-006
1233.500000,1.9250E-006
1233.750000,2.4920E-006
1234.000000,2.7560E-006
1234.250000,2.7720E-006
1234.500000,2.5870E-006
1234.750000,2.1830E-006
1235.000000,1.7640E-006
1235.250000,1.9720E-006
1235.500000,2.8980E-006
1235.750000,3.7950E-006
1236.000000,4.0880E-006
1236.250000,4.0140E-006
1236.500000,3.6200E-006
1236.750000,2.7460E-006
1237.000000,2.0740E-006
1237.250000,2.2640E-006
1237.500000,3.7350E-006
1237.750000,5.0360E-006
1238.000000,5.4390E-006
1238.250000,5.3040E-006
1238.500000,4.6330E-006
1238.750000,3.4500E-006
1239.000000,2.4780E-006
1239.250000,2.7770E-006
1239.500000,4.8210E-006
1239.750000,6.4850E-006
1240.000000,6.7390E-006
1240.250000,6.4330E-006
1240.500000,5.6070E-006
1240.750000,4.1590E-006
1241.000000,3.3720E-006
1241.250000,3.7230E-006
1241.500000,6.0600E-006
1241.750000,7.8740E-006
1242.000000,8.0110E-006
1242.250000,7.4970E-006
