File,WaveData20230804_122.csv,
Date/Time,23-08-04/07:57,

Center Wavelength,1450,nm
Span Wavelength,500,nm
Start Wavelength,1200,nm
Stop Wavelength,1700,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,1.0,nm
Actual Resolution,1.024,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Pulse Mode,Off,

Trace,A
Start,1200,nm
Stop,1700,nm
1200.000000,3.3010E-008
1200.250000,5.0990E-008
1200.500000,4.1910E-008
1200.750000,4.0000E-008
1201.000000,2.9890E-008
1201.250000,6.1350E-008
1201.500000,4.5970E-008
1201.750000,2.4000E-008
1202.000000,2.9750E-008
1202.250000,3.0910E-008
1202.500000,7.0420E-008
1202.750000,4.0190E-008
1203.000000,3.4460E-008
1203.250000,5.7560E-008
1203.500000,6.3430E-008
1203.750000,4.6120E-008
1204.000000,3.6020E-008
1204.250000,2.4300E-008
1204.500000,2.8620E-008
1204.750000,4.1960E-008
1205.000000,5.2370E-008
1205.250000,3.7000E-008
1205.500000,2.7020E-008
1205.750000,4.2000E-008
1206.000000,2.7770E-008
1206.250000,2.7150E-008
1206.500000,5.3650E-008
1206.750000,6.4420E-008
1207.000000,6.1410E-008
1207.250000,2.5930E-008
1207.500000,5.2680E-008
1207.750000,3.7710E-008
1208.000000,2.5640E-008
1208.250000,4.8460E-008
1208.500000,4.4440E-008
1208.750000,5.0090E-008
1209.000000,1.7580E-008
1209.250000,2.8310E-008
1209.500000,6.3710E-008
1209.750000,5.7440E-008
1210.000000,7.4940E-008
1210.250000,5.0380E-008
1210.500000,6.2710E-008
1210.750000,6.5490E-008
1211.000000,4.9310E-008
1211.250000,3.5490E-008
1211.500000,3.8810E-008
1211.750000,7.3360E-008
1212.000000,5.2970E-008
1212.250000,6.1780E-008
1212.500000,4.0770E-008
1212.750000,3.9840E-008
1213.000000,5.5050E-008
1213.250000,7.6320E-008
1213.500000,5.9270E-008
1213.750000,6.6930E-008
1214.000000,6.2890E-008
1214.250000,4.4740E-008
1214.500000,7.7050E-008
1214.750000,3.1620E-008
1215.000000,6.6240E-008
1215.250000,6.1580E-008
1215.500000,4.8380E-008
1215.750000,8.0080E-008
1216.000000,7.8470E-008
1216.250000,1.0910E-007
1216.500000,7.3830E-008
1216.750000,1.1880E-007
1217.000000,8.2810E-008
1217.250000,1.1330E-007
1217.500000,8.6710E-008
1217.750000,1.1370E-007
1218.000000,1.3530E-007
1218.250000,1.0990E-007
1218.500000,1.5060E-007
1218.750000,1.3780E-007
1219.000000,1.2410E-007
1219.250000,1.3630E-007
1219.500000,1.7580E-007
1219.750000,1.3970E-007
1220.000000,1.8030E-007
1220.250000,1.7890E-007
1220.500000,2.3830E-007
1220.750000,2.4670E-007
1221.000000,2.0040E-007
1221.250000,2.0830E-007
1221.500000,2.3500E-007
1221.750000,2.4120E-007
1222.000000,2.5080E-007
1222.250000,2.8270E-007
1222.500000,3.3670E-007
1222.750000,3.7320E-007
1223.000000,3.3810E-007
1223.250000,3.2120E-007
1223.500000,3.5500E-007
1223.750000,3.4640E-007
1224.000000,3.5830E-007
1224.250000,3.9540E-007
1224.500000,4.9640E-007
1224.750000,5.2800E-007
1225.000000,5.8060E-007
1225.250000,6.0490E-007
1225.500000,5.7630E-007
1225.750000,6.0360E-007
1226.000000,5.6740E-007
1226.250000,6.5210E-007
1226.500000,6.6620E-007
1226.750000,7.9530E-007
1227.000000,9.4130E-007
1227.250000,1.0290E-006
1227.500000,9.7860E-007
1227.750000,9.3730E-007
1228.000000,9.5450E-007
1228.250000,9.8430E-007
1228.500000,9.7650E-007
1228.750000,1.0010E-006
1229.000000,1.2310E-006
1229.250000,1.3980E-006
1229.500000,1.4340E-006
1229.750000,1.5140E-006
1230.000000,1.5520E-006
1230.250000,1.4130E-006
1230.500000,1.3530E-006
1230.750000,1.4020E-006
1231.000000,1.4580E-006
1231.250000,1.6000E-006
1231.500000,1.9640E-006
1231.750000,2.1690E-006
1232.000000,2.2470E-006
1232.250000,2.2080E-006
1232.500000,2.1250E-006
1232.750000,2.1100E-006
1233.000000,2.3680E-006
1233.250000,2.5990E-006
1233.500000,2.9340E-006
1233.750000,3.3560E-006
1234.000000,3.4500E-006
1234.250000,3.4010E-006
1234.500000,3.3710E-006
1234.750000,3.3880E-006
1235.000000,3.4380E-006
1235.250000,3.6240E-006
1235.500000,4.0880E-006
1235.750000,4.5890E-006
1236.000000,4.7040E-006
1236.250000,4.7750E-006
1236.500000,4.6800E-006
1236.750000,4.3810E-006
1237.000000,4.3550E-006
1237.250000,4.8270E-006
1237.500000,5.6530E-006
1237.750000,6.3620E-006
1238.000000,6.6090E-006
1238.250000,6.3960E-006
1238.500000,5.9760E-006
1238.750000,5.9120E-006
1239.000000,6.1820E-006
1239.250000,6.6580E-006
1239.500000,7.1000E-006
1239.750000,6.9200E-006
1240.000000,6.8560E-006
1240.250000,7.2980E-006
1240.500000,8.2630E-006
1240.750000,9.0410E-006
1241.000000,9.4540E-006
1241.250000,9.2840E-006
1241.500000,8.9130E-006
1241.750000,8.5350E-006
1242.000000,8.7510E-006
1242.250000,9.5270E-006
