File,WaveData20230724_025.csv,
Date/Time,23-07-24/02:28,

Center Wavelength,1450,nm
Span Wavelength,500,nm
Start Wavelength,1200,nm
Stop Wavelength,1700,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,1.0,nm
Actual Resolution,1.024,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Pulse Mode,Off,

Trace,A
Start,1200,nm
Stop,1700,nm
1200.000000,6.1440E-009
1200.250000,1.3670E-008
1200.500000,7.8110E-009
1200.750000,1.1090E-008
1201.000000,-5.9050E-009
1201.250000,-2.3970E-008
1201.500000,3.7480E-008
1201.750000,-1.8730E-008
1202.000000,1.5690E-008
1202.250000,2.9260E-009
1202.500000,-2.0180E-009
1202.750000,6.5070E-009
1203.000000,-3.5570E-008
1203.250000,1.3410E-008
1203.500000,1.7980E-008
1203.750000,1.0290E-008
1204.000000,3.3790E-008
1204.250000,-3.1430E-008
1204.500000,-9.7730E-009
1204.750000,-2.3600E-008
1205.000000,3.4480E-008
1205.250000,-6.1420E-009
1205.500000,1.0500E-008
1205.750000,-1.9620E-008
1206.000000,1.9730E-008
1206.250000,1.3100E-008
1206.500000,9.2650E-009
1206.750000,1.6770E-009
1207.000000,4.0180E-009
1207.250000,-3.6110E-010
1207.500000,-1.4740E-008
1207.750000,1.2550E-009
1208.000000,-1.1580E-008
1208.250000,1.0150E-008
1208.500000,6.5220E-009
1208.750000,1.1990E-008
1209.000000,2.1640E-008
1209.250000,-1.9260E-009
1209.500000,1.2060E-009
1209.750000,-4.4490E-010
1210.000000,-9.4800E-009
1210.250000,2.1510E-009
1210.500000,1.1580E-008
1210.750000,-7.0170E-009
1211.000000,1.8330E-009
1211.250000,1.7060E-008
1211.500000,3.1180E-008
1211.750000,-1.8760E-008
1212.000000,3.0940E-008
1212.250000,-1.1830E-008
1212.500000,3.6480E-008
1212.750000,-9.8570E-009
1213.000000,1.0530E-008
1213.250000,7.7960E-009
1213.500000,2.1210E-009
1213.750000,9.5420E-009
1214.000000,2.5700E-008
1214.250000,2.1470E-009
1214.500000,2.8440E-009
1214.750000,2.5020E-008
1215.000000,2.5730E-008
1215.250000,2.6790E-008
1215.500000,-2.7660E-009
1215.750000,-9.0010E-009
1216.000000,1.9140E-008
1216.250000,1.8440E-008
1216.500000,-2.3900E-008
1216.750000,-7.9610E-009
1217.000000,1.2430E-009
1217.250000,1.8930E-009
1217.500000,1.4800E-008
1217.750000,-4.0060E-009
1218.000000,1.4090E-008
1218.250000,4.4120E-009
1218.500000,1.9350E-008
1218.750000,-1.5170E-008
1219.000000,1.9960E-008
1219.250000,2.7700E-008
1219.500000,2.5200E-008
1219.750000,2.6970E-008
1220.000000,3.6470E-009
1220.250000,3.2320E-008
1220.500000,2.2630E-008
1220.750000,3.6030E-008
1221.000000,1.4500E-008
1221.250000,1.4340E-008
1221.500000,1.3170E-008
1221.750000,2.3920E-008
1222.000000,1.5410E-008
1222.250000,3.7750E-009
1222.500000,6.8850E-008
1222.750000,4.4310E-008
1223.000000,4.8230E-008
1223.250000,5.6690E-008
1223.500000,6.7160E-008
1223.750000,6.0590E-008
1224.000000,5.0970E-008
1224.250000,8.4670E-008
1224.500000,5.5550E-008
1224.750000,4.5130E-008
1225.000000,4.8640E-008
1225.250000,4.4500E-008
1225.500000,6.2710E-008
1225.750000,8.2470E-008
1226.000000,6.6270E-008
1226.250000,1.0510E-007
1226.500000,1.0140E-007
1226.750000,1.0270E-007
1227.000000,1.3310E-007
1227.250000,1.3750E-007
1227.500000,1.6620E-007
1227.750000,1.7360E-007
1228.000000,2.5440E-007
1228.250000,2.8030E-007
1228.500000,2.7810E-007
1228.750000,2.5160E-007
1229.000000,2.5830E-007
1229.250000,2.6180E-007
1229.500000,2.8820E-007
1229.750000,2.5620E-007
1230.000000,3.4770E-007
1230.250000,3.5280E-007
1230.500000,3.9620E-007
1230.750000,3.6630E-007
1231.000000,3.2980E-007
1231.250000,3.3880E-007
1231.500000,3.1880E-007
1231.750000,3.4800E-007
1232.000000,3.8530E-007
1232.250000,3.7940E-007
1232.500000,4.2760E-007
1232.750000,4.3290E-007
1233.000000,3.5240E-007
1233.250000,3.3060E-007
1233.500000,3.4870E-007
1233.750000,3.8060E-007
1234.000000,3.7370E-007
1234.250000,3.8180E-007
1234.500000,4.2100E-007
1234.750000,4.3860E-007
1235.000000,3.9990E-007
1235.250000,4.4760E-007
1235.500000,4.4200E-007
1235.750000,5.0550E-007
1236.000000,5.3200E-007
1236.250000,5.6540E-007
1236.500000,5.6960E-007
1236.750000,6.2190E-007
1237.000000,5.7100E-007
1237.250000,5.6850E-007
1237.500000,5.7810E-007
1237.750000,5.9090E-007
1238.000000,5.4490E-007
1238.250000,5.1800E-007
1238.500000,4.6710E-007
1238.750000,5.0350E-007
1239.000000,5.5080E-007
1239.250000,5.7910E-007
1239.500000,6.6830E-007
1239.750000,6.7490E-007
1240.000000,6.9420E-007
1240.250000,6.6140E-007
1240.500000,6.5980E-007
1240.750000,7.6240E-007
1241.000000,7.8780E-007
1241.250000,8.4680E-007
1241.500000,8.6770E-007
1241.750000,8.3580E-007
